city,county,metro_status,population_2022_ref,year,sales_tax_alloc,sales_tax_alloc_per_capita,taxable_sales,taxable_sales_per_capita,business_outlets,sales_tax_rate
Abbott,Hill,Non-Metro,371.0,2013,60451.32,162.94156334231806,,,,1.5
Abbott,Hill,Non-Metro,371.0,2014,79501.58,214.2899730458221,,,,1.5
Abbott,Hill,Non-Metro,371.0,2015,85221.77,229.70827493261456,,,,1.5
Abbott,Hill,Non-Metro,371.0,2016,88239.02,237.84102425876011,2041086.0,5501.579514824798,33,1.5
Abbott,Hill,Non-Metro,371.0,2017,99480.77,268.1422371967655,1956334.0,5273.1374663072775,36,1.5
Abbott,Hill,Non-Metro,371.0,2018,108573.68,292.65142857142854,1960913.0,5285.4797843665765,37,1.5
Abbott,Hill,Non-Metro,371.0,2019,108325.29,291.9819137466307,2056008.0,5541.800539083558,41,1.5
Abbott,Hill,Non-Metro,371.0,2020,114606.3,308.91185983827495,1894277.0,5105.867924528302,32,1.5
Abbott,Hill,Non-Metro,371.0,2021,133997.22,361.17849056603774,3203938.0,8635.951482479784,34,1.5
Abbott,Hill,Non-Metro,371.0,2022,161779.78,436.06409703504045,8898502.0,23985.180592991914,46,1.5
Abbott,Hill,Non-Metro,371.0,2023,160516.27,432.658409703504,10355183.0,27911.54447439353,48,1.5
Abbott,Hill,Non-Metro,371.0,2024,203605.33,548.8014285714286,9866686.0,26594.840970350404,50,1.5
Abernathy,Hale,Non-Metro,2691.0,2013,267264.72,99.31799331103677,,,,1.5
Abernathy,Hale,Non-Metro,2691.0,2014,184182.03,68.44371237458193,,,,1.5
Abernathy,Hale,Non-Metro,2691.0,2015,199658.19,74.19479375696767,,,,1.5
Abernathy,Hale,Non-Metro,2691.0,2016,196447.86,73.00180602006688,11550756.0,4292.365663322185,154,1.5
Abernathy,Hale,Non-Metro,2691.0,2017,194149.07,72.14755481233742,11460554.0,4258.8457822370865,159,1.5
Abernathy,Hale,Non-Metro,2691.0,2018,188010.73,69.86649201040505,11133700.0,4137.383872166481,158,1.5
Abernathy,Hale,Non-Metro,2691.0,2019,209124.21,77.71245261984392,11186647.0,4157.059457450762,158,1.5
Abernathy,Hale,Non-Metro,2691.0,2020,240513.45,89.37697881828318,11252103.0,4181.383500557414,154,1.5
